Brand	Model	Variant	Price	Image
OnePlus	Oneplus Pad Go2 5G	8 GB/256 GB	16500	/models/oneplus-tablet/Oneplus_Pad_Go2_5G.png
OnePlus	Oneplus Pad Go2 WiFi	8 GB/128 GB	13500	/models/oneplus-tablet/Oneplus_Pad_Go2_WiFi.png
OnePlus	Oneplus Pad Go2 WiFi	8 GB/256 GB	15000	/models/oneplus-tablet/Oneplus_Pad_Go2_WiFi.png
OnePlus	Oneplus Pad Lite LTE	8 GB/128 GB	8250	/models/oneplus-tablet/Oneplus_Pad_Lite_LTE.png
OnePlus	Oneplus Pad Lite WiFi	6 GB/128 GB	7250	/models/oneplus-tablet/Oneplus_Pad_Lite_WiFi.png
OnePlus	OnePlus Pad 3	12 GB/256 GB	10000	/models/oneplus-tablet/OnePlus_Pad_3.png
OnePlus	OnePlus Pad 3	16 GB/512 GB	10500	/models/oneplus-tablet/OnePlus_Pad_3.png
OnePlus	OnePlus Pad Go Tablet LTE	8 GB/256 GB	9030	/models/oneplus-tablet/OnePlus_Pad_Go_Tablet_LTE.png
OnePlus	OnePlus Pad Go Tablet LTE	8 GB/128 GB	8540	/models/oneplus-tablet/OnePlus_Pad_Go_Tablet_LTE.png
OnePlus	OnePlus Pad Go Tablet WiFi Only	8 GB/128 GB	7730	/models/oneplus-tablet/OnePlus_Pad_Go_Tablet_WiFi_Only.png
OnePlus	OnePlus Pad Tablet	12 GB/256 GB	12020	/models/oneplus-tablet/OnePlus_Pad_Tablet.png
OnePlus	OnePlus Pad Tablet	8 GB/128 GB	11030	/models/oneplus-tablet/OnePlus_Pad_Tablet.png
OnePlus	OnePlus Pad 2 WiFi	8 GB/128 GB	15250	/models/oneplus-tablet/OnePlus_Pad_2_WiFi.png
OnePlus	OnePlus Pad 2 WiFi	12 GB/256GB	16510	/models/oneplus-tablet/OnePlus_Pad_2_WiFi.png
