Brand	Model	Variant	Price	Image
oppo	Oppo Pad Air Wifi Only	64 GB	4990	/models/oppo-tablet/OPPO_PAD_AIR_WIFI_ONLY.png
oppo	Oppo Pad Air Wifi Only	128 GB	5710	/models/oppo-tablet/OPPO_PAD_AIR_WIFI_ONLY.png
mi	Xiaomi Pad 7	8 GB/128 GB	13720	/models/xiaomi-tablet/Xiaomi_Pad_7.png
mi	Xiaomi Pad 7	12 GB/256 GB	15250	/models/xiaomi-tablet/Xiaomi_Pad_7.png
mi	Xiaomi Pad SE WiFi Only	4 GB/128 GB	5370	/models/xiaomi-tablet/Xiaomi_Pad_SE_WiFi_Only.png
mi	Xiaomi Pad SE WiFi Only	6 GB/128 GB	5820	/models/xiaomi-tablet/Xiaomi_Pad_SE_WiFi_Only.png
mi	Xiaomi Pad SE WiFi Only	8 GB/128 GB	6280	/models/xiaomi-tablet/Xiaomi_Pad_SE_WiFi_Only.png
mi	Xiaomi Redmi Pad 6	256 GB	10310	/models/xiaomi-tablet/Xiaomi_Redmi_Pad_6.png
mi	Xiaomi Redmi Pad 6	128 GB	9570	/models/xiaomi-tablet/Xiaomi_Redmi_Pad_6.png
mi	Xiaomi Redmi Pad	3 GB/64 GB	5080	/models/xiaomi-tablet/Xiaomi_Redmi_Pad.png
mi	Xiaomi Redmi Pad	4 GB/ 128 GB	6250	/models/xiaomi-tablet/Xiaomi_Redmi_Pad.png
mi	Xiaomi Redmi Pad	6 GB/128 GB	6520	/models/xiaomi-tablet/Xiaomi_Redmi_Pad.png
mi	Xiaomi Mi Pad 5 WiFi Only	256 GB	8040	/models/xiaomi-tablet/Xiaomi_Mi_Pad_5_WiFi_Only.png
mi	Xiaomi Mi Pad 5 WiFi Only	128 GB	7640	/models/xiaomi-tablet/Xiaomi_Mi_Pad_5_WiFi_Only.png
mi	Redmi Pad Pro 5G	8 GB/128 GB	9480	/models/xiaomi-tablet/Redmi_Pad_Pro_5G.png
mi	Redmi Pad Pro 5G	8 GB/256GB	10130	/models/xiaomi-tablet/Redmi_Pad_Pro_5G.png
mi	Redmi Pad Pro	6 GB/128 GB	7600	/models/xiaomi-tablet/Redmi_Pad_Pro.png
mi	Redmi Pad SE 4G	4 GB/64 GB	4810	/models/xiaomi-tablet/Redmi_Pad_SE_4G.png
mi	Redmi Pad SE 4G	4 GB/128 GB	5390	/models/xiaomi-tablet/Redmi_Pad_SE_4G.png
nokia	Nokia T21 Wifi_4G	4 GB/ 64 GB	5980	/models/nokia-tablet/Nokia_T21_WIFI_4G.png
nokia	Nokia T21 Wifi Only	4 GB/ 64 GB	5570	/models/nokia-tablet/Nokia_T21_WIFI_ONLY.png
nokia	Nokia T10 Wifi_4G	3 GB/32 GB	4090	/models/nokia-tablet/Nokia_T10_WIFI_4G.png
