Brand	Model	Variant	Price	Image
Realme	Realme Pad 2 lite	4 GB/128 GB	6250	/models/realme-tablet/Realme_Pad_2_lite.png
Realme	Realme Pad 2 lite	8 GB/128 GB	6510	/models/realme-tablet/Realme_Pad_2_lite.png
Realme	Realme Pad 2	6 GB/128 GB	6800	/models/realme-tablet/Realme_Pad_2.png
Realme	Realme Pad 2	8 GB/256 GB	7500	/models/realme-tablet/Realme_Pad_2.png
Realme	Realme Pad LTE	32 GB	5450	/models/realme-tablet/Realme_PAD_LTE.png
Realme	Realme Pad LTE	64 GB	7130	/models/realme-tablet/Realme_PAD_LTE.png
Realme	Realme Pad Mini LTE	32 GB	4830	/models/realme-tablet/Realme_PAD_MINI_LTE.png
Realme	Realme Pad Mini LTE	64 GB	5490	/models/realme-tablet/Realme_PAD_MINI_LTE.png
Realme	Realme Pad X 5G	128 GB	8900	/models/realme-tablet/Realme_PAD_X_5G.png
Realme	Realme Pad X 5G	64 GB	7660	/models/realme-tablet/Realme_PAD_X_5G.png
Realme	Realme Pad Wifi Only	32 GB	5270	/models/realme-tablet/Realme_PAD_WIFI_ONLY.png
Realme	Realme Pad X Wifi Only	64 GB	6330	/models/realme-tablet/Realme_PAD_X_WIFI_ONLY.png
Realme	Realme Pad Mini Wifi Only	32 GB	4030	/models/realme-tablet/Realme_PAD_MINI_WIFI_ONLY.png
Realme	Realme Pad Mini Wifi Only	64 GB	5090	/models/realme-tablet/Realme_PAD_MINI_WIFI_ONLY.png
