Brand	Model	Variant	Price	Image
Samsung	Samsung S10 FE Plus 5G	8 GB/128 GB	31840	/models/samsung-tablet/Samsung_S10_FE_Plus_5G.png
Samsung	Samsung S10 FE Plus 5G	12 GB/256 GB	36500	/models/samsung-tablet/Samsung_S10_FE_Plus_5G.png
Samsung	Samsung S10 FE Plus WiFi Only	8 GB/128 GB	36400	/models/samsung-tablet/Samsung_S10_FE_Plus_WiFi_Only.png
Samsung	Samsung S10 FE Plus WiFi Only	12 GB/256 GB	42900	/models/samsung-tablet/Samsung_S10_FE_Plus_WiFi_Only.png
Samsung	Samsung S10 FE 5G	8 GB/128 GB	25630	/models/samsung-tablet/Samsung_S10_FE_5G.png
Samsung	Samsung S10 FE 5G	12 GB/256 GB	29850	/models/samsung-tablet/Samsung_S10_FE_5G.png
Samsung	Samsung S10 FE WiFi Only	8 GB/128 GB	21660	/models/samsung-tablet/Samsung_S10_FE_WiFi_Only.png
Samsung	Samsung S10 FE WiFi Only	12 GB/256 GB	26510	/models/samsung-tablet/Samsung_S10_FE_WiFi_Only.png
Samsung	Samsung Galaxy Tab S10 Ultra WiFi Only	12 GB/256 GB	45920	/models/samsung-tablet/Samsung_Galaxy_Tab_S10_Ultra_WiFi_Only.png
Samsung	Samsung Galaxy Tab S10 Ultra WiFi Only	12 GB/512 GB	49260	/models/samsung-tablet/Samsung_Galaxy_Tab_S10_Ultra_WiFi_Only.png
Samsung	Samsung Galaxy Tab S10 Ultra 5G	12 GB/256 GB	50760	/models/samsung-tablet/Samsung_Galaxy_Tab_S10_Ultra_5G.png
Samsung	Samsung Galaxy Tab S10 Ultra 5G	12 GB/512 GB	55340	/models/samsung-tablet/Samsung_Galaxy_Tab_S10_Ultra_5G.png
Samsung	Samsung Galaxy Tab S10 Plus 5G	12 GB/256 GB	43540	/models/samsung-tablet/Samsung_Galaxy_Tab_S10_Plus_5G.png
Samsung	Samsung Galaxy Tab S10 Plus WiFi Only	12 GB/256 GB	37120	/models/samsung-tablet/Samsung_Galaxy_Tab_S10_Plus_WiFi_Only.png
