Brand	Model	Variant	Price
Apple	iPad Pro M5 11 Inch (WiFi Only)	256 GB	49950
Apple	iPad Pro M5 11 Inch (WiFi Only)	512 GB	59950
Apple	iPad Pro M5 11 Inch (WiFi Only)	1TB	79950
Apple	iPad Pro M5 11 Inch (WiFi Only)	2 TB	99950
Apple	iPad Pro M5 11 Inch (WiFi + Cellular)	256 GB	59950
Apple	iPad Pro M5 11 Inch (WiFi + Cellular)	512 GB	69950
Apple	iPad Pro M5 11 Inch (WiFi + Cellular)	1TB	89950
Apple	iPad Pro M5 11 Inch (WiFi + Cellular)	2 TB	109950
Apple	iPad Pro M5 13 Inch (WiFi Only)	256 GB	65000
Apple	iPad Pro M5 13 Inch (WiFi Only)	512 GB	75000
Apple	iPad Pro M5 13 Inch (WiFi Only)	1TB	94950
Apple	iPad Pro M5 13 Inch (WiFi Only)	2 TB	114950
Apple	iPad Pro M5 13 Inch (WiFi + Cellular)	256 GB	75000
Apple	iPad Pro M5 13 Inch (WiFi + Cellular)	512 GB	84950
Apple	iPad Pro M5 13 Inch (WiFi + Cellular)	1TB	104950
Apple	iPad Pro M5 13 Inch (WiFi + Cellular)	2 TB	124950
Apple	iPad 11th Gen WiFi + Cellular	256 GB	31640
Apple	iPad 11th Gen WiFi + Cellular	512 GB	38690
Apple	iPad 11th Gen WiFi + Cellular	128 GB	27410
Apple	iPad 11th Gen WiFi Only	128 GB	20380
Apple	iPad 11th Gen WiFi Only	256 GB	24120
Apple	iPad 11th Gen WiFi Only	512 GB	31640
Apple	iPad Air M3 13 inch (WiFi + Cellular)	128 GB	53780
Apple	iPad Air M3 13 inch (WiFi + Cellular)	256 GB	56600
Apple	iPad Air M3 13 inch (WiFi + Cellular)	512 GB	66000
Apple	iPad Air M3 13 inch (WiFi + Cellular)	1 TB	71640
Apple	iPad Air M3 13 inch (WiFi Only)	128 GB	43440
Apple	iPad Air M3 13 inch (WiFi Only)	256 GB	45320
Apple	iPad Air M3 13 inch (WiFi Only)	512 GB	56600
Apple	iPad Air M3 13 inch (WiFi Only)	1 TB	62240
Apple	iPad Air M3 11 inch (WiFi + Cellular)	128 GB	42500
Apple	iPad Air M3 11 inch (WiFi + Cellular)	256 GB	46260
Apple	iPad Air M3 11 inch (WiFi + Cellular)	512 GB	52840
Apple	iPad Air M3 11 inch (WiFi + Cellular)	1 TB	59420
Apple	iPad Air M3 11 inch (WiFi Only)	128 GB	33570
Apple	iPad Air M3 11 inch (WiFi Only)	256 GB	38270
Apple	iPad Air M3 11 inch (WiFi Only)	512 GB	44380
Apple	iPad Air M3 11 inch (WiFi Only)	1 TB	51430
