Brand	Model	Variant	Price	Image
iQOO	iQOO 15 5G	12 GB/256 GB	40150	/models/iqoo/iQOO_15_5G.png
iQOO	iQOO 15 5G	16 GB/512 GB	44000	/models/iqoo/iQOO_15_5G.png
iQOO	iQOO Z10r 5G	8 GB/128 GB	13680	/models/iqoo/iQOO_Z10r_5G.png
iQOO	iQOO Z10r 5G	8 GB/256 GB	14480	/models/iqoo/iQOO_Z10r_5G.png
iQOO	iQOO Z10r 5G	12GB/256GB	16080	/models/iqoo/iQOO_Z10r_5G.png
iQOO	iQOO Z10 Lite 5G	4 GB/128 GB	7350	/models/iqoo/iQOO_Z10_Lite_5G.png
iQOO	iQOO Z10 Lite 5G	6 GB/128 GB	8050	/models/iqoo/iQOO_Z10_Lite_5G.png
iQOO	iQOO Z10 Lite 5G	8 GB/256 GB	9050	/models/iqoo/iQOO_Z10_Lite_5G.png
iQOO	iQoo Z10x 5G	6 GB/128 GB	9890	/models/iqoo/iQoo_Z10x_5G.png
iQOO	iQoo Z10x 5G	8 GB/128 GB	10130	/models/iqoo/iQoo_Z10x_5G.png
iQOO	iQoo Z10x 5G	8 GB/256 GB	11000	/models/iqoo/iQoo_Z10x_5G.png
iQOO	iQOO Neo 10	8 GB/128 GB	20440	/models/iqoo/iQOO_Neo_10.png
iQOO	iQOO Neo 10	8 GB/256 GB	22290	/models/iqoo/iQOO_Neo_10.png
iQOO	iQOO Neo 10	12 GB/256 GB	23590	/models/iqoo/iQOO_Neo_10.png
iQOO	iQOO Neo 10	16 GB/512 GB	24460	/models/iqoo/iQOO_Neo_10.png
iQOO	iQOO Z10 5G	8 GB/128 GB	14950	/models/iqoo/iQOO_Z10_5G.png
iQOO	iQOO Z10 5G	8 GB/256 GB	15900	/models/iqoo/iQOO_Z10_5G.png
iQOO	iQOO Z10 5G	12 GB/256 GB	16800	/models/iqoo/iQOO_Z10_5G.png
iQOO	IQOO Neo 10R 5G	8 GB/128 GB	17150	/models/iqoo/IQOO_Neo_10R_5G.png
iQOO	IQOO Neo 10R 5G	8 GB/256 GB	18720	/models/iqoo/IQOO_Neo_10R_5G.png
iQOO	IQOO Neo 10R 5G	12 GB/256 GB	20050	/models/iqoo/IQOO_Neo_10R_5G.png
iQOO	iQOO 13 5G	12 GB/256 GB	30700	/models/iqoo/iQOO_13_5G.png
iQOO	iQOO 13 5G	16 GB/512 GB	32100	/models/iqoo/iQOO_13_5G.png
iQOO	iQOO Z9s Pro 5G	8 GB/128 GB	13280	/models/iqoo/iQOO_Z9s_Pro_5G.png
iQOO	iQOO Z9s Pro 5G	8 GB/256 GB	13460	/models/iqoo/iQOO_Z9s_Pro_5G.png
iQOO	iQOO Z9s Pro 5G	12 GB/256 GB	14530	/models/iqoo/iQOO_Z9s_Pro_5G.png
iQOO	iQOO Z9s 5G	8 GB/128 GB	11440	/models/iqoo/iQOO_Z9s_5G.png
iQOO	iQOO Z9s 5G	8 GB/256 GB	11610	/models/iqoo/iQOO_Z9s_5G.png
iQOO	iQOO Z9s 5G	12 GB/256 GB	12120	/models/iqoo/iQOO_Z9s_5G.png
