Brand	Model	Variant	Price	Image
Motorola	Moto Edge 70	8 GB/256 GB	20560	/models/motorola/Moto_Edge_70.png
Motorola	Moto G67 Power	8 GB/128 GB	8790	/models/motorola/Moto_G67_Power.png
Motorola	Moto G57 Power	8 GB/128 GB	8210	/models/motorola/Moto_G57_Power.png
Motorola	Moto G86 Power 5G	8 GB/128 GB	10700	/models/motorola/Moto_G86_Power_5G.png
Motorola	Moto Edge 60 Stylus	8 GB/256 GB	13800	/models/motorola/Moto_Edge_60_Stylus.png
Motorola	Moto G96 5G	8 GB/128 GB	11230	/models/motorola/Moto_G96_5G.png
Motorola	Moto G96 5G	8 GB/256 GB	12580	/models/motorola/Moto_G96_5G.png
Motorola	Moto Razr 60 Ultra	16 GB/512 GB	39100	/models/motorola/Moto_Razr_60_Ultra.png
Motorola	Moto Razr 60	8 GB/256 GB	22660	/models/motorola/Moto_Razr_60.png
Motorola	Moto Edge 60	12 GB/256 GB	17250	/models/motorola/Moto_Edge_60.png
Motorola	Moto Edge 60 Fusion	8 GB/256 GB	15300	/models/motorola/Moto_Edge_60_Fusion.png
Motorola	Moto Edge 60 Fusion	12 GB/256 GB	16050	/models/motorola/Moto_Edge_60_Fusion.png
Motorola	Moto Edge 60 Pro	8 GB/256 GB	19550	/models/motorola/Moto_Edge_60_Pro.png
Motorola	Moto Edge 60 Pro	12 GB/256 GB	19550	/models/motorola/Moto_Edge_60_Pro.png
Motorola	Moto G35 5G	4 GB/128 GB	6730	/models/motorola/Moto_G35_5G.png
Motorola	Moto G05	4 GB/64 GB	4760	
Motorola	Moto Razr 50	8 GB/256 GB	21940	/models/motorola/Moto_Razr_50.png
Motorola	Moto Edge 50 Neo	8 GB/256 GB	13430	/models/motorola/Moto_Edge_50_Neo.png
Motorola	Moto G45 5G	4 GB/128 GB	6660	/models/motorola/Moto_G45_5G.png
Motorola	Moto G45 5G	8 GB/128 GB	7860	/models/motorola/Moto_G45_5G.png
Motorola	Moto G04s	4 GB/64 GB	3900	/models/motorola/Moto_G04s.png
Motorola	Moto Razr 50 Ultra	12 GB/512 GB	32600	/models/motorola/Moto_Razr_50_Ultra.png
Motorola	Motorola Edge 50 Ultra 5G	12 GB/512 GB	26870	/models/motorola/Motorola_Edge_50_Ultra_5G.png
Motorola	Moto Edge 50 Fusion	8 GB/ 128 GB	12910	/models/motorola/Moto_Edge_50_Fusion.png
Motorola	Moto Edge 50 Fusion	12 GB/256 GB	13790	/models/motorola/Moto_Edge_50_Fusion.png
Motorola	Moto G04	8 GB/128 GB	4060	/models/motorola/Moto_G04.png
Motorola	Moto G04	4 GB/64 GB	3810	/models/motorola/Moto_G04.png
Motorola	Moto G24 Power	4 GB/128 GB	3610	/models/motorola/Motorola_Moto_G24_Power.png
Motorola	Moto G24 Power	8 GB/128 GB	3810	/models/motorola/Motorola_Moto_G24_Power.png
Motorola	Moto G64 5G	8 GB/128 GB	8330	/models/motorola/Moto_G64_5G.png
Motorola	Moto G64 5G	12 GB/256 GB	8670	/models/motorola/Moto_G64_5G.png
Motorola	Moto Edge 50 Pro 5G	8 GB/256 GB	16000	/models/motorola/Moto_Edge_50_Pro_5G.png
Motorola	Moto Edge 50 Pro 5G	12 GB/256 GB	16380	/models/motorola/Moto_Edge_50_Pro_5G.png
Motorola	Moto Edge 50 5G	8 GB/256 GB	14000	/models/motorola/Moto_Edge_50_5G.png
Motorola	Moto G85 5G	8 GB/128 GB	10490	/models/motorola/Moto_G85_5G.png
Motorola	Moto G85 5G	12 GB/256 GB	11370	/models/motorola/Moto_G85_5G.png
Motorola	Moto G34 5G	8 GB/128 GB	7180	/models/motorola/Motorola_Moto_G34_5G.png.webp
Motorola	Moto G34 5G	4 GB/128 GB	6380	/models/motorola/Motorola_Moto_G34_5G.png.webp
Motorola	Moto G54 5G	8 GB/128 GB	8840	/models/motorola/Moto_G54_5G.png
Motorola	Moto G54 5G	12 GB/256 GB	9420	/models/motorola/Moto_G54_5G.png
Motorola	Moto G84 5G	12 GB/256 GB	9770	/models/motorola/Moto_G84_5G.png
Motorola	Moto G14	4 GB/128 GB	4760	/models/motorola/Motorola_Moto_G14.png
Motorola	Moto Edge 40 Neo	8 GB/128 GB	13150	/models/motorola/Motorola_Edge_40_Neo.png
Motorola	Moto Edge 40 Neo	12 GB/256 GB	13640	/models/motorola/Motorola_Edge_40_Neo.png
Motorola	Moto Razr 40	8 GB/256 GB	17000	/models/motorola/Moto_Razr_40.png
Motorola	Moto Razr 40 Ultra	8 GB/256 GB	24650	/models/motorola/Moto_Razr_40_Ultra.png
Motorola	Moto Edge 40	8 GB/256 GB	13840	/models/motorola/Moto_Edge_40.png
Motorola	Moto G13	4 GB/64 GB	3560	/models/motorola/motorola_G13.png
Motorola	Moto G13	4 GB/128 GB	4270	/models/motorola/motorola_G13.png
Motorola	Moto G73	8 GB/128 GB	8560	/models/motorola/Motorola_G73.png
Motorola	Moto E22S	4 GB/ 64 GB	3310	/models/motorola/Motorola_E22S.png
Motorola	Moto E32	4 GB/ 64 GB	4280	/models/motorola/Motorola_E32.png
Motorola	Moto G72 5G	6 GB/128 GB	6370	/models/motorola/Motorola_G72_5G.png
Motorola	Moto G62 5G	6 GB/128 GB	7180	/models/motorola/Motorola_G62_5G.png
Motorola	Moto G62 5G	8 GB/128 GB	7810	/models/motorola/Motorola_G62_5G.png
Motorola	Moto E13	8 GB/128 GB	4290	/models/motorola/Motorola_E13.png
Motorola	Moto E13	4 GB/ 64 GB	4040	/models/motorola/Motorola_E13.png
Motorola	Moto E13	2 GB/64 GB	3630	/models/motorola/Motorola_E13.png
Motorola	Moto Edge 30 Ultra	8 GB/ 128 GB	16430	/models/motorola/MOTOROLA_EDGE_30_ULTRA.png
Motorola	Moto Edge 30 Ultra	12 GB/256 GB	17550	/models/motorola/MOTOROLA_EDGE_30_ULTRA.png
Motorola	Moto Edge 30 Fusion	8 GB/128 GB	12370	/models/motorola/MOTOROLA_EDGE_30_FUSION.png
