Brand	Model	Variant	Price	Image
Nokia	HMD Vibe 5G	4 GB/128 GB	4950	/models/nokia/HMD_Vibe_5G.png
Nokia	HMD Fusion	8 GB/256 GB	6000	/models/nokia/HMD_Fusion.png
Nokia	Nokia HMD Skyline 5G	12 GB/256 GB	18000	/models/nokia/Nokia_HMD_Skyline_5G.png
Nokia	Nokia HMD Crest Max 5G	8 GB/256 GB	5990	/models/nokia/Nokia_HMD_Crest_Max_5G.png
Nokia	Nokia HMD Crest	6 GB/128 GB	5700	/models/nokia/Nokia_HMD_Crest.png
Nokia	Nokia G42 5G	6 GB/128 GB	4490	/models/nokia/Nokia_G42_5G.png
Nokia	Nokia G42 5G	4 GB/128 GB	3860	/models/nokia/Nokia_G42_5G.png
Nokia	Nokia G42 5G	8 GB/256 GB	6320	/models/nokia/Nokia_G42_5G.png
Nokia	Nokia C32	4 GB/64 GB	2850	/models/nokia/Nokia_C32.png
Nokia	Nokia C32	4 GB/128 GB	3340	/models/nokia/Nokia_C32.png
Nokia	Nokia C32	6 GB/128 GB	4090	/models/nokia/Nokia_C32.png
Nokia	Nokia C22	2 GB/64 GB	2480	/models/nokia/Nokia_C22.png
Nokia	Nokia C22	4 GB/64 GB	3060	/models/nokia/Nokia_C22.png
Nokia	Nokia C12 Pro	2 GB/64 GB	2660	/models/nokia/Nokia_C12_PRO.png
Nokia	Nokia C12 Pro	3 GB/64 GB	2750	/models/nokia/Nokia_C12_PRO.png
Nokia	Nokia C12	2 GB/64 GB	2560	/models/nokia/Nokia_C12.png
Nokia	Nokia X30 5G	8 GB/256 GB	10700	/models/nokia/Nokia_X30_5G.png.jpeg
Nokia	Nokia G11 Plus	4 GB/64 GB	3560	/models/nokia/Nokia_G11_PLUS.png
Nokia	Nokia C31	4 GB/64 GB	3110	/models/nokia/Nokia_C31.png
Nokia	Nokia C31	3 GB/32 GB	2710	/models/nokia/Nokia_C31.png
Nokia	Nokia G60 5G	6 GB/128 GB	2920	/models/nokia/Nokia_G60_5G.png
Nokia	Nokia C21 Plus	3 GB/32 GB	3300	/models/nokia/NOKIA_C21_PLUS.png
Nokia	Nokia C21 Plus	4 GB/64 GB	3640	/models/nokia/NOKIA_C21_PLUS.png
Nokia	Nokia XR20	6 GB/128 GB	10580	/models/nokia/Nokia_XR20.png
Nokia	Nokia G21	4 GB/64 GB	3530	/models/nokia/Nokia_G21.png.jpeg
Nokia	Nokia G21	6 GB/128 GB	4650	/models/nokia/Nokia_G21.png.jpeg
Nokia	Nokia G10	4 GB/64 GB	3370	/models/nokia/Nokia_G10.png
Nokia	Nokia G20	4 GB/64 GB	3630	/models/nokia/Nokia_G20.png
Nokia	Nokia C30	3 GB/32 GB	3000	/models/nokia/Nokia_C30.png
Nokia	Nokia C30	4 GB/64 GB	3370	/models/nokia/Nokia_C30.png
Nokia	Nokia C01 Plus	2 GB/16 GB	1890	/models/nokia/Nokia_C01_Plus.png
Nokia	Nokia C20 Plus	2 GB/32 GB	2420	/models/nokia/Nokia_C20_Plus.png
Nokia	Nokia C20 Plus	3 GB/32 GB	2680	/models/nokia/Nokia_C20_Plus.png
Nokia	Nokia 9 PureView	6 GB/128 GB	8420	/models/nokia/Nokia_9_PureView.png
