Brand	Model	Variant	Price	Image
Realme	Realme P4 Power 5G	8 GB/128 GB	16900	/models/realme/Realme_P4_Power_5G.png
Realme	Realme P4 Power 5G	8 GB/256 GB	18200	/models/realme/Realme_P4_Power_5G.png
Realme	Realme P4 Power 5G	12 GB/256 GB	20150	/models/realme/Realme_P4_Power_5G.png
Realme	Realme C73 5G	4 GB/64 GB	6960	/models/realme/Realme_C73_5G.png
Realme	Realme C73 5G	4 GB/128 GB	8450	/models/realme/Realme_C73_5G.png
Realme	Realme C85 5G	4 GB/128 GB	10720	/models/realme/Realme_C85_5G.png
Realme	Realme C85 5G	6 GB/128 GB	11700	/models/realme/Realme_C85_5G.png
Realme	Realme Narzo 90x 5G	6 GB/128 GB	9100	/models/realme/Realme_Narzo_90x_5G.png
Realme	Realme Narzo 90x 5G	8 GB/128 GB	10070	/models/realme/Realme_Narzo_90x_5G.png
Realme	Realme Narzo 90 5G	6 GB/128 GB	11050	/models/realme/Realme_Narzo_90_5G.png
Realme	Realme Narzo 90 5G	8 GB/128 GB	12020	/models/realme/Realme_Narzo_90_5G.png
Realme	Realme 16 Pro Plus 5G	8 GB/128 GB	28600	/models/realme/Realme_16_Pro_Plus_5G.png
Realme	Realme 16 Pro Plus 5G	8 GB/256 GB	29900	/models/realme/Realme_16_Pro_Plus_5G.png
Realme	Realme 16 Pro Plus 5G	12 GB/256 GB	31850	/models/realme/Realme_16_Pro_Plus_5G.png
Realme	Realme 16 Pro Plus 5G	12 GB/512 GB	33800	/models/realme/Realme_16_Pro_Plus_5G.png
Realme	Realme 16 Pro 5G	8 GB/128 GB	22750	/models/realme/Realme_16_Pro_5G.png
Realme	Realme 16 Pro 5G	8 GB/256 GB	24050	/models/realme/Realme_16_Pro_5G.png
Realme	Realme 16 Pro 5G	12 GB/256 GB	26000	/models/realme/Realme_16_Pro_5G.png
Realme	Realme Narzo 80 Lite 5G	4 GB/64 GB	6850	/models/realme/Realme_Narzo_80_Lite_5G.png
Realme	Realme Narzo 80 Lite 5G	6 GB/128 GB	6450	/models/realme/Realme_Narzo_80_Lite_5G.png
Realme	Realme P4x 5G	6 GB/128 GB	8520	/models/realme/Realme_P4x_5G.png
