Model	Storage Variant	Buyback Price (₹)	New Price (+5%) (₹)
Samsung Galaxy A36 5G	256GB	12500	13125
Samsung Galaxy M15 5G Prime Edition	128GB	5500	5775
Samsung Galaxy M15 5G Prime Edition	256GB	6200	6510
Samsung Galaxy S25 Plus	256GB	50000	52500
Samsung Galaxy S25 Plus	512GB	58000	60900
Samsung Galaxy S25	128GB	42000	44100
Samsung Galaxy S25	256GB	48000	50400
Samsung Galaxy S25 Ultra	256GB	68000	71400
Samsung Galaxy S25 Ultra	512GB	78000	81900
Samsung Galaxy S25 Ultra	1TB	92000	96600
Samsung Galaxy F05	64GB	1800	1890
Samsung Galaxy F05	128GB	2100	2205
Samsung Galaxy S24 FE	128GB	25000	26250
Samsung Galaxy S24 FE	256GB	28000	29400
Samsung Galaxy A16 5G	128GB	5200	5460
Samsung Galaxy A16 5G	256GB	5900	6195
Samsung Galaxy M55s	128GB	12000	12600
Samsung Galaxy M55s	256GB	13500	14175
Samsung Galaxy F14	64GB	3200	3360
Samsung Galaxy F14	128GB	3700	3885
Samsung M13 5G	64GB	3500	3675
Samsung M13 5G	128GB	4000	4200
Samsung Galaxy M05	64GB	1900	1995
Samsung Galaxy M05	128GB	2200	2310
Samsung A06	64GB	2100	2205
Samsung A06	128GB	2400	2520
Samsung Galaxy M35 5G	128GB	9000	9450
Samsung Galaxy M35 5G	256GB	10200	10710
Samsung Galaxy F55	128GB	11500	12075
Samsung Galaxy F55	256GB	13000	13650
Samsung Galaxy A55 5G	128GB	15000	15750
Samsung Galaxy A55 5G	256GB	17500	18375
Samsung Galaxy A35 5G	128GB	12500	13125
Samsung Galaxy A35 5G	256GB	14000	14700
Samsung Galaxy F15 5G	128GB	5800	6090
Samsung Galaxy F15 5G	256GB	6500	6825
Samsung Galaxy M55	128GB	13000	13650
Samsung Galaxy M55	256GB	14500	15225
Samsung Galaxy M15	128GB	5200	5460
Samsung Galaxy M15	256GB	5800	6090
Samsung Galaxy S24 Plus	256GB	48000	50400
Samsung Galaxy S24 Plus	512GB	56000	58800
Samsung Galaxy S24	128GB	38000	39900
Samsung Galaxy S24	256GB	44000	46200
Samsung Galaxy S24 Ultra	256GB	62000	65100
Samsung Galaxy S24 Ultra	512GB	72000	75600
Samsung Galaxy S24 Ultra	1TB	85000	89250
Samsung Galaxy Z Flip 6 5G	256GB	42000	44100
Samsung Galaxy Z Flip 6 5G	512GB	48000	50400
Samsung Galaxy Z Fold 6	256GB	75000	78750
Samsung Galaxy Z Fold 6	512GB	85000	89250
Samsung Galaxy Z Fold 6	1TB	100000	105000
Samsung Galaxy M14 4G	64GB	3800	3990
Samsung Galaxy M14 4G	128GB	4300	4515
Samsung Galaxy A15 5G	128GB	5500	5775
Samsung Galaxy A15 5G	256GB	6200	6510
Samsung Galaxy A25 5G	128GB	8000	8400
Samsung Galaxy A25 5G	256GB	9000	9450
Samsung Galaxy S23 FE 5G	128GB	22000	23100
Samsung Galaxy S23 FE 5G	256GB	25000	26250
Samsung Galaxy F34 5G	128GB	8200	8610
Samsung Galaxy F34 5G	256GB	9200	9660
Samsung Galaxy Z Flip5	256GB	38000	39900
Samsung Galaxy Z Flip5	512GB	43000	45150
Samsung Galaxy Z Fold5	256GB	65000	68250
Samsung Galaxy Z Fold5	512GB	75000	78750
Samsung Galaxy Z Fold5	1TB	88000	92400
Samsung Galaxy M34 5G	128GB	8500	8925
Samsung Galaxy M34 5G	256GB	9500	9975
Samsung Galaxy A14 4G	64GB	3500	3675
Samsung Galaxy A14 4G	128GB	4000	4200
Samsung Galaxy A05s	64GB	2400	2520
Samsung Galaxy A05s	128GB	2800	2940
Samsung Galaxy F54	256GB	12000	12600
Samsung Galaxy F54	512GB	13500	14175
Samsung Galaxy A05	64GB	2000	2100
Samsung Galaxy A05	128GB	2300	2415
Samsung Galaxy M14 5G	64GB	4200	4410
Samsung Galaxy M14 5G	128GB	4800	5040
Samsung Galaxy F14 5G	64GB	3800	3990
Samsung Galaxy F14 5G	128GB	4300	4515
Samsung Galaxy A54	128GB	14000	14700
Samsung Galaxy A54	256GB	16000	16800
Samsung Galaxy A34	128GB	11000	11550
Samsung Galaxy A34	256GB	12500	13125
Samsung Galaxy A04e	64GB	1700	1785
Samsung Galaxy A04e	128GB	2000	2100
Samsung Galaxy A04	64GB	1800	1890
Samsung Galaxy A04	128GB	2100	2205
Samsung Galaxy A04s	64GB	2200	2310
Samsung Galaxy A04s	128GB	2500	2625
Samsung Galaxy Z Flip 4	128GB	32000	33600
Samsung Galaxy Z Flip 4	256GB	36000	37800
Samsung Galaxy Z Flip 4	512GB	40000	42000
Samsung Galaxy Z Fold 4	256GB	55000	57750
Samsung Galaxy Z Fold 4	512GB	65000	68250
Samsung Galaxy Z Fold 4	1TB	78000	81900
Samsung Galaxy M53 5G	128GB	10000	10500
Samsung Galaxy M53 5G	256GB	11500	12075
Samsung Galaxy M33 5G	128GB	7500	7875
Samsung Galaxy M33 5G	256GB	8500	8925
Samsung Galaxy A03 Core	32GB	1200	1260
Samsung Galaxy A03 Core	64GB	1400	1470
Samsung Galaxy A03	64GB	1600	1680
Samsung Galaxy A03	128GB	1850	1943
Samsung Galaxy A13	64GB	3800	3990
Samsung Galaxy A13	128GB	4300	4515
Samsung Galaxy A53 5G	128GB	12000	12600
Samsung Galaxy A53 5G	256GB	13500	14175
Samsung Galaxy M13	64GB	3200	3360
Samsung Galaxy M13	128GB	3700	3885
Samsung Galaxy F13	64GB	3000	3150
