Brand	Model	Variant	Price	Image
Xiaomi	Redmi 10	4 GB/64 GB	4960	/models/xiaomi/MI_Redmi_10.png
Xiaomi	Redmi 10	6 GB/128 GB	5260	/models/xiaomi/MI_Redmi_10.png
Xiaomi	Redmi 10 Power	8 GB/128 GB	6150	/models/xiaomi/MI_REDMI_10_POWER.png
Xiaomi	Redmi 10 Prime	4 GB/64 GB	5450	/models/xiaomi/MI_REDMI_10_PRIME.png
Xiaomi	Redmi 10 Prime	6 GB/128 GB	5710	/models/xiaomi/MI_REDMI_10_PRIME.png
Xiaomi	Redmi 10 Prime 2022	64 GB	5620	/models/xiaomi/MI_Redmi_10_Prime_2022.png
Xiaomi	Redmi 10 Prime 2022	128 GB	5950	/models/xiaomi/MI_Redmi_10_Prime_2022.png
Xiaomi	Redmi 10A	3 GB/32 GB	3600	/models/xiaomi/MI_Redmi_10A.png
Xiaomi	Redmi 10A	4 GB/64 GB	4470	/models/xiaomi/MI_Redmi_10A.png
Xiaomi	Redmi 10A Sport	6 GB/128 GB	3800	/models/xiaomi/MI_Redmi_10A_SPORT.png
Xiaomi	Redmi 11 Prime	4 GB/64 GB	5570	/models/xiaomi/MI_Redmi_11_PRIME.png
Xiaomi	Redmi 11 Prime	6 GB/128 GB	5910	/models/xiaomi/MI_Redmi_11_PRIME.png
Xiaomi	Redmi 11 Prime 5G	4 GB/64 GB	6610	/models/xiaomi/MI_Redmi_11_PRIME_5G.png
Xiaomi	Redmi 11 Prime 5G	6 GB/128 GB	6820	/models/xiaomi/MI_Redmi_11_PRIME_5G.png
Xiaomi	Redmi 12 4G	4 GB/128 GB	5530	/models/xiaomi/Redmi_12_4G.png
Xiaomi	Redmi 12 4G	6 GB/128 GB	5940	/models/xiaomi/Redmi_12_4G.png
Xiaomi	Redmi 12 5G	4 GB/128 GB	6840	/models/xiaomi/Redmi_12_5G.png
Xiaomi	Redmi 12 5G	6 GB/128 GB	7840	/models/xiaomi/Redmi_12_5G.png
Xiaomi	Redmi 12 5G	8 GB/256 GB	8440	/models/xiaomi/Redmi_12_5G.png
Xiaomi	Redmi 12C	4 GB/64 GB	4630	/models/xiaomi/MI_REDMI_12C.png
Xiaomi	Redmi 12C	6 GB/128 GB	4780	/models/xiaomi/MI_REDMI_12C.png
Xiaomi	Redmi 12C	4 GB/128 GB	4840	/models/xiaomi/MI_REDMI_12C.png
Xiaomi	Redmi 13 5G	6 GB/128 GB	7570	/models/xiaomi/Redmi_13_5G.png
Xiaomi	Redmi 13 5G	8 GB/128 GB	8000	/models/xiaomi/Redmi_13_5G.png
Xiaomi	Redmi 13C	4 GB/128 GB	4620	/models/xiaomi/Redmi_13C.png
Xiaomi	Redmi 13C	6 GB/128 GB	4850	/models/xiaomi/Redmi_13C.png
Xiaomi	Redmi 13C	8 GB/256 GB	4930	/models/xiaomi/Redmi_13C.png
Xiaomi	Redmi 13C 5G	4 GB/128 GB	6750	/models/xiaomi/Redmi_13C_5G.png
Xiaomi	Redmi 13C 5G	6 GB/128 GB	7080	/models/xiaomi/Redmi_13C_5G.png
Xiaomi	Redmi 13C 5G	8 GB/256 GB	7330	/models/xiaomi/Redmi_13C_5G.png
Xiaomi	Redmi 14C 5G	4 GB/64 GB	6350	/models/xiaomi/Redmi_14C_5G.png
Xiaomi	Redmi 14C 5G	4 GB/128 GB	6900	/models/xiaomi/Redmi_14C_5G.png
Xiaomi	Redmi 14C 5G	6 GB/128 GB	7470	/models/xiaomi/Redmi_14C_5G.png
Xiaomi	Redmi 15 5G	6 GB/128 GB	10670	/models/xiaomi/Redmi_15_5G.png
Xiaomi	Redmi 15 5G	8 GB/128 GB	11090	/models/xiaomi/Redmi_15_5G.png
Xiaomi	Redmi 15 5G	8 GB/256 GB	10700	/models/xiaomi/Redmi_15_5G.png
Xiaomi	Redmi 15C 5G	4 GB/128 GB	8120	/models/xiaomi/Redmi_15C_5G.png
Xiaomi	Redmi 15C 5G	6 GB/128 GB	9100	/models/xiaomi/Redmi_15C_5G.png
Xiaomi	Redmi 15C 5G	8 GB/128 GB	10070	/models/xiaomi/Redmi_15C_5G.png
Xiaomi	Redmi 6	32 GB	2000	/models/xiaomi/Xiaomi_Redmi_6.png
Xiaomi	Redmi 6	64 GB	2730	/models/xiaomi/Xiaomi_Redmi_6.png
